lcl date,lcl time,utcofst,atvwpt,latitude,longitude,altind,baroa,altmsl,OAT,ias,gndspd,vspd,pitch,roll,latac,normac,hdg,trk,volt1,volt2,amp1,amp2,fqtyl,fqtyr,e1 fflow,e1 oilt,e1 oilp,e1 rpm,e1 cht1,e1 cht2,e1 cht3,e1 cht4,e1 egt1,e1 egt2,e1 egt3,e1 egt4,altgps,tas,hsis,crs,nav1,nav2,com1,com2,hcdi,vcdi,wndspd,wnddr,wptdst,wptbrg,magvar,afcson,rollm,pitchm,rollc,pichc,vspdg,gpsfix,hal,val,hplwas,hplfd,vplwas
2021-01-15,0 days 10:54:50,,,23.7509861,78.8567581,1683.2,29.91,1713.5,22.8,0.0,0.0,-8.95,2.47,0.15,0.0,-0.0,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.12,146.92,57.67,999.6,313.27,333.96,319.38,321.4,1100.48,1084.67,1097.65,1119.82,1523.4,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:51,,,23.7509861,78.8567581,1684.2,29.91,1713.5,22.8,0.0,0.0,6.63,2.46,0.19,-0.0,0.0,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.14,146.94,57.85,1004.1,313.25,333.95,319.39,321.4,1100.73,1085.78,1095.75,1117.7,1523.4,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:52,,,23.7509861,78.8567581,1683.2,29.91,1712.8,22.8,0.0,0.0,3.0,2.43,0.18,-0.01,-0.01,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.15,146.97,57.78,1003.3,313.24,333.94,319.42,321.4,1101.35,1085.67,1096.13,1117.94,1522.7,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,3.9,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:53,,,23.7509861,78.8567581,1683.2,29.91,1712.6,22.8,0.0,0.0,0.11,2.45,0.15,-0.01,0.0,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.14,146.99,57.7,996.7,313.22,333.94,319.42,321.41,1101.44,1085.27,1097.85,1120.44,1522.5,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:54,,,23.750988,78.8567581,1683.2,29.91,1712.3,22.8,0.0,0.0,-13.46,2.45,0.2,-0.0,-0.0,262.5,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.11,147.01,57.75,1000.5,313.2,333.93,319.45,321.41,1099.38,1085.35,1100.97,1124.89,1522.2,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,25.0
2021-01-15,0 days 10:54:55,,,23.750988,78.8567581,1684.2,29.91,1712.2,22.8,0.0,0.0,-6.86,2.44,0.21,-0.01,-0.0,262.5,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.17,147.03,57.79,1001.7,313.18,333.92,319.46,321.42,1098.0,1086.63,1102.73,1126.51,1522.1,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:56,,,23.750988,78.8567581,1684.2,29.91,1712.1,22.8,0.0,0.0,-0.3,2.48,0.19,-0.01,-0.0,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.14,147.05,57.85,1007.2,313.18,333.92,319.47,321.43,1098.68,1087.43,1103.36,1127.42,1522.0,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:57,,,23.750988,78.8567581,1684.2,29.91,1712.0,22.8,0.0,0.0,-0.01,2.44,0.19,-0.01,-0.02,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.12,147.07,57.77,1005.7,313.17,333.91,319.49,321.44,1098.51,1086.68,1102.51,1128.32,1521.9,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,-3.9,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:58,,,23.7509861,78.8567581,1684.2,29.91,1712.8,22.8,0.0,0.0,3.62,2.42,0.18,0.0,-0.01,262.5,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.12,147.09,57.69,1000.8,313.15,333.91,319.5,321.46,1099.05,1085.33,1103.12,1130.26,1522.7,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:59,,,23.750988,78.8567581,1684.2,29.91,1712.8,22.8,0.0,0.0,4.77,2.47,0.18,-0.0,0.03,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.12,147.12,57.83,1006.1,313.14,333.91,319.51,321.46,1099.95,1084.27,1103.35,1132.34,1522.7,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
